brand,Группа категорий,id,id_s,total_views,mean_views,view_times
Haider Ackermann,Штаны и брюки,37,"['2000000018522', '2000000026091', '2000000031286', '2000000034348', '2000000038995', '2000000046655', '2000000047393', '2000000048758', '2000000054780', '2000000055404', '2000000062518', '2000000063546', '2000000063560', '2000000064017', '2000000064024', '2000000070568', '2000000072074', '2000000076539', '2000000081892', '2000000084718', '2000000087597', '2000000091419', '2000000099460', '2000000099477', '2000000099552', '2000000101484', '2000000103297', '2000000104119', '2000000104904', '2000000113999', '2000000118475', '2000000119311', '2000000119335', '2000000119342', '2000000119359', '2000000119366', '2000000119373']",0,0.0,[]
Nike,Кроссовки и кеды,34,"['2000000028293', '2000000061771', '2000000066202', '2000000066219', '2000000066233', '2000000068244', '2000000084190', '2000000089768', '2000000090894', '2000000093215', '2000000093246', '2000000093277', '2000000093284', '2000000093314', '2000000093345', '2000000093352', '2000000093444', '2000000097398', '2000000097435', '2000000099910', '2000000099927', '2000000099941', '2000000099958', '2000000101835', '2000000101958', '2000000101965', '2000000103754', '2000000110783', '2000000110837', '2000000111513', '2000000111896', '2000000111902', '2000000115016', '2000000120676']",0,0.0,[]
Saint Michael,Свитшоты и худи,29,"['2000000085739', '2000000088556', '2000000088648', '2000000097732', '2000000101460', '2000000103402', '2000000106083', '2000000106090', '2000000106137', '2000000106151', '2000000106168', '2000000106236', '2000000108056', '2000000110158', '2000000110165', '2000000111339', '2000000113272', '2000000114651', '2000000115221', '2000000115245', '2000000116167', '2000000116174', '2000000116198', '2000000116204', '2000000116211', '2000000116228', '2000000116235', '2000000119250', '2000000119281']",0,0.0,[]
Rick Owens Drkshdw,Деним,25,"['2000000077048', '2000000084145', '2000000084398', '2000000112510', '2000000117072', '2000000117089', '2000000117096', '2000000117119', '2000000117126', '2000000117133', '2000000117263', '2000000117270', '2000000117379', '2000000117386', '2000000117447', '2000000117546', '2000000117553', '2000000117560', '2000000117577', '2000000117584', '2000000117591', '2000000117607', '2000000117614', '2000000117621', '2000000117638']",0,0.0,[]
Rick Owens,Штаны и брюки,23,"['2000000011011', '2000000055107', '2000000076676', '2000000086293', '2000000117102', '2000000117140', '2000000117188', '2000000117218', '2000000117256', '2000000117300', '2000000117409', '2000000117416', '2000000117423', '2000000117430', '2000000117454', '2000000117485', '2000000117492', '2000000117508', '2000000117539', '2000000117645', '2000000117652', '2000000117669', '2000000117676']",0,0.0,[]
Rick Owens Drkshdw,Кроссовки и кеды,21,"['2000000091365', '2000000100098', '2000000109855', '2000000109879', '2000000117966', '2000000117973', '2000000118055', '2000000118062', '2000000118079', '2000000118086', '2000000118093', '2000000118109', '2000000118116', '2000000118123', '2000000118154', '2000000118161', '2000000118178', '2000000118185', '2000000118192', '2000000120034', '2000000120041']",0,0.0,[]
Saint Laurent Paris,Пальто и плащи,21,"['2000000015668', '2000000017952', '2000000018256', '2000000022048', '2000000022062', '2000000023755', '2000000027982', '2000000028118', '2000000038742', '2000000060767', '2000000062112', '2000000062174', '2000000095981', '2000000098005', '2000000101583', '2000000102078', '2000000107752', '2000000114156', '2000000118680', '2000000118710', '2000000118918']",0,0.0,[]
Enfants Riches Deprimes,Футболки и лонгсливы,20,"['2000000016009', '2000000016016', '2000000016023', '2000000016030', '2000000016047', '2000000016177', '2000000016191', '2000000016214', '2000000016221', '2000000034515', '2000000105932', '2000000110684', '2000000118338', '2000000118352', '2000000118369', '2000000118376', '2000000118383', '2000000118390', '2000000118956', '2000000120416']",0,0.0,[]
Saint Laurent Paris,Ботинки и сапоги,17,"['2000000025063', '2000000031866', '2000000031965', '2000000037004', '2000000037066', '2000000041384', '2000000062341', '2000000063836', '2000000063843', '2000000079660', '2000000084930', '2000000102733', '2000000104300', '2000000107226', '2000000110455', '2000000116785', '2000000118864']",0,0.0,[]
Haider Ackermann,Пиджаки и жилеты,16,"['2000000005829', '2000000018577', '2000000026084', '2000000034386', '2000000046693', '2000000055329', '2000000055350', '2000000055374', '2000000055411', '2000000090207', '2000000103310', '2000000110493', '2000000116112', '2000000119267', '2000000119298', '2000000119304']",0,0.0,[]
Greg Lauren,Рубашки,15,"['2000000005355', '2000000031491', '2000000034188', '2000000050591', '2000000050607', '2000000050614', '2000000050621', '2000000063478', '2000000068732', '2000000071459', '2000000071466', '2000000120249', '2000000120256', '2000000120263', '2000000120317']",0,0.0,[]
Balmain,Футболки и лонгсливы,15,"['2000000040837', '2000000041681', '2000000059853', '2000000060712', '2000000073460', '2000000084893', '2000000088006', '2000000104744', '2000000109510', '2000000109527', '2000000109534', '2000000109541', '2000000109558', '2000000109565', '2000000109572']",0,0.0,[]
Off-White,Футболки и лонгсливы,15,"['2000000052540', '2000000052588', '2000000078243', '2000000090313', '2000000090337', '2000000090344', '2000000091082', '2000000091990', '2000000104713', '2000000107851', '2000000107882', '2000000110417', '2000000110462', '2000000116259', '2000000116297']",0,0.0,[]
Saint Laurent Paris,Пиджаки и жилеты,14,"['2000000011349', '2000000027654', '2000000028606', '2000000047225', '2000000047409', '2000000047416', '2000000062464', '2000000063102', '2000000063188', '2000000063195', '2000000066813', '2000000115351', '2000000115368', '2000000115375']",0,0.0,[]
Saint Laurent Paris,Футболки и лонгсливы,14,"['2000000033105', '2000000016146', '2000000016238', '2000000018614', '2000000018645', '2000000048680', '2000000048703', '2000000063461', '2000000072890', '2000000090146', '2000000090184', '2000000100197', '2000000104270', '2000000104294']",0,0.0,[]
Greg Lauren,Куртки и пуховики,14,"['2000000005133', '2000000018379', '2000000018591', '2000000045146', '2000000049281', '2000000049984', '2000000053264', '2000000055589', '2000000063737', '2000000099699', '2000000099965', '2000000109350', '2000000120072', '2000000120140']",0,0.0,[]
Saint Laurent Paris,Кроссовки и кеды,14,"['2000000011448', '2000000017242', '2000000022031', '2000000023960', '2000000032030', '2000000091839', '2000000097374', '2000000101651', '2000000101668', '2000000104317', '2000000105390', '2000000107141', '2000000108315', '2000000114934']",0,0.0,[]
RED SEPTEMBER,Деним,14,"['2000000100739', '2000000100753', '2000000100777', '2000000100784', '2000000100791', '2000000100807', '2000000100814', '2000000100852', '2000000100876', '2000000100883', '2000000100890', '2000000100906', '2000000100913', '2000000100937']",0,0.0,[]
Dries Van Noten,Штаны и брюки,14,"['2000000026480', '2000000056623', '2000000056814', '2000000064130', '2000000064154', '2000000081694', '2000000082745', '2000000083131', '2000000086996', '2000000089263', '2000000110714', '2000000111049', '2000000111070', '2000000111117']",0,0.0,[]
Maison Margiela,Кроссовки и кеды,13,"['2000000008851', '2000000023625', '2000000025407', '2000000029757', '2000000029764', '2000000059952', '2000000095455', '2000000102184', '2000000107196', '2000000107219', '2000000108247', '2000000110400', '2000000120386']",0,0.0,[]
Haider Ackermann,Пальто и плащи,12,"['2000000015644', '2000000018683', '2000000034355', '2000000061894', '2000000073163', '2000000099637', '2000000107691', '2000000109817', '2000000116877', '2000000118307', '2000000119205', '2000000119380']",0,0.0,[]
Vetements,Футболки и лонгсливы,12,"['2000000088730', '2000000088747', '2000000091020', '2000000091068', '2000000091181', '2000000095288', '2000000097282', '2000000099019', '2000000099026', '2000000103624', '2000000106342', '2000000109114']",0,0.0,[]
Greg Lauren,Футболки и лонгсливы,12,"['2000000027999', '2000000034249', '2000000034256', '2000000050553', '2000000050560', '2000000050706', '2000000099514', '2000000101071', '2000000103501', '2000000103525', '2000000103594', '2000000120355']",0,0.0,[]
Other,Украшения и другое,12,"['2000000032122', '2000000032139', '2000000056197', '2000000067346', '2000000070049', '2000000100296', '2000000102061', '2000000109985', '2000000109992', '2000000110004', '2000000110011', '2000000110028']",0,0.0,[]
Rick Owens,Куртки и пуховики,12,"['2000000076867', '2000000076898', '2000000098166', '2000000099613', '2000000110516', '2000000111094', '2000000111100', '2000000115542', '2000000117010', '2000000117058', '2000000117065', '2000000117461']",0,0.0,[]
