,views,products,products_quan,carts,carts_quan,wish,wish_quan
1634376464775853163,85,"[2000000084909.0, 2000000084510.0, 2000000073705.0, 2000000044804.0, 2000000101170.0, 2000000101194.0, 2000000099705.0, 2000000089362.0, 2000000093321.0, 2000000084909.0, 2000000084473.0, 2000000068398.0, 2000000068398.0, 2000000060514.0, 2000000056814.0, 2000000038599.0, 2000000038056.0, 2000000013916.0, 2000000008240.0, 2000000003139.0, 2000000097909.0, 2000000085791.0, 2000000081441.0, 2000000075181.0, 2000000038056.0, 2000000001593.0, 2000000003139.0, 2000000099705.0, 2000000107349.0, 2000000093321.0, 2000000107349.0, 2000000084909.0, 2000000101170.0, 2000000007359.0, 2000000068398.0, 2000000003139.0, 2000000089362.0, 2000000099705.0, 2000000007359.0, 2000000038056.0, 2000000107349.0, 2000000075181.0, 2000000081441.0, 2000000096193.0, 2000000101996.0, 2000000107752.0, 2000000075181.0, 2000000101996.0, 2000000075181.0, 2000000089362.0, 2000000107349.0, 2000000007359.0, 2000000075181.0]",53.0,,,,
16177636401065163291,162,"[2000000076294.0, 2000000051208.0, 2000000011011.0, 2000000051208.0, 2000000100104.0, 2000000104362.0, 2000000023625.0, 2000000109268.0, 2000000092713.0, 2000000070377.0, 2000000092713.0, 2000000092713.0, 2000000113548.0, 2000000113548.0, 2000000113548.0, 2000000113296.0, 2000000113548.0, 2000000113548.0, 2000000113296.0, 2000000113296.0, 2000000113296.0, 2000000113548.0, 2000000113548.0, 2000000113296.0, 2000000113548.0, 2000000113296.0, 2000000113548.0, 2000000113296.0, 2000000113296.0, 2000000113296.0, 2000000113548.0, 2000000095165.0, 2000000095165.0, 2000000045702.0, 2000000095165.0, 2000000045702.0, 2000000095165.0, 2000000113548.0, 2000000113548.0, 2000000095165.0, 2000000111629.0, 2000000113395.0, 2000000111308.0, 2000000111308.0, 2000000114941.0, 2000000115610.0, 2000000115566.0, 2000000115566.0, 2000000115566.0, 2000000115566.0, 2000000115566.0, 2000000116563.0, 2000000115566.0, 2000000115566.0, 2000000115566.0, 2000000115566.0, 2000000115610.0, 2000000116075.0, 2000000116075.0, 2000000108742.0]",60.0,,,,
1630659159952734277,252,"[2000000107752.0, 2000000095073.0, 2000000104294.0, 2000000090184.0, 2000000107646.0, 2000000101668.0, 2000000101583.0, 2000000106359.0, 2000000103433.0, 2000000095073.0, 2000000108711.0, 2000000032351.0, 2000000108940.0, 2000000002279.0, 2000000093383.0, 2000000090252.0, 2000000052434.0, 2000000087610.0, 2000000045894.0, 2000000094250.0, 2000000068145.0, 2000000104591.0, 2000000063126.0, 2000000026480.0, 2000000101569.0, 2000000046525.0, 2000000109268.0, 2000000032931.0, 2000000065212.0, 2000000104584.0, 2000000026527.0, 2000000052434.0, 2000000025452.0, 2000000104195.0, 2000000045061.0, 2000000030623.0, 2000000090184.0, 2000000030623.0, 2000000018614.0, 2000000018614.0, 2000000104300.0]",41.0,,,,
1630833206792953159,413,"[2000000094601.0, 2000000108322.0, 2000000109251.0, 2000000080161.0, 2000000080161.0, 2000000112343.0, 2000000101385.0, 2000000111803.0, 2000000075723.0, 2000000113401.0, 2000000111803.0, 2000000111803.0, 2000000086484.0, 2000000111810.0, 2000000059563.0, 2000000068244.0, 2000000068732.0, 2000000088044.0, 2000000113401.0, 2000000113371.0, 2000000110585.0, 2000000113395.0, 2000000110639.0, 2000000110646.0, 2000000110608.0, 2000000110592.0, 2000000110660.0, 2000000116044.0, 2000000113395.0, 2000000113395.0, 2000000110585.0, 2000000110585.0, 2000000110585.0, 2000000113357.0, 2000000110622.0, 2000000113371.0, 2000000113401.0, 2000000094496.0, 2000000110332.0, 2000000086293.0, 2000000113210.0, 2000000068244.0, 2000000068244.0, 2000000113739.0, 2000000104775.0, 2000000012544.0]",46.0,,,,
163386231741398227,123,"[2000000082929.0, 2000000075310.0, 2000000061689.0, 2000000083872.0, 2000000071169.0, 2000000039480.0, 2000000038599.0, 2000000087467.0, 2000000083872.0, 2000000083872.0, 2000000083872.0, 2000000083872.0, 2000000099347.0, 2000000107653.0, 2000000039480.0, 2000000076867.0, 2000000087467.0, 2000000071206.0, 2000000087467.0, 2000000095271.0, 2000000003924.0, 2000000087467.0, 2000000094311.0, 2000000087467.0, 2000000087467.0, 2000000087467.0, 2000000087467.0, 2000000073347.0, 2000000103976.0, 2000000103976.0, 2000000103976.0, 2000000083872.0, 2000000083872.0, 2000000103976.0, 2000000083872.0]",35.0,,,,
1634377355340027827,5,"[2000000107752.0, 2000000063423.0]",2.0,,,,
1634377511281344312,2,"[2000000060484.0, 2000000060484.0]",2.0,,,,
1634377797822063174,1,,,,,,
1634378108893087236,4,[2000000032016.0],1.0,,,,
1634378607320994191,1,[2000000076218.0],1.0,,,,
